Nombre;NAME;TOPX;TOPY;LEASE;CURRENTTYPE;STRUCTURE;MOP
802;CIRA0802;1032892.5;1267158.84;802;PROD_OIL;CIRA NORTH;BEAM
803;CIRA0803;1033159.8;1267060.33;803;PROD_OIL;CIRA NORTH;BEAM
804;CIRA0804;1033115.04;1267363.11;804;PROD_OIL;CIRA EAST;BEAM
805;CIRA0805;1033407.52;1267360.17;805;PROD_OIL;CIRA EAST;BEAM
808;CIRA0808;1030686.3;1263391.69;808;PROD_OIL;CIRA SOUTH;BEAM
809;CIRA0809;1030594.15;1263709.81;809;PROD_OIL;CIRA SOUTH;BEAM
810;CIRA0810;1030605.75;1263978.22;810;PROD_OIL;CIRA SOUTH;BEAM
811;CIRA0811;1030831.61;1264167.9;811;PROD_OIL;CIRA SOUTH;BEAM
812;CIRA0812;1030373.38;1262739.64;812;PROD_OIL;CIRA SOUTH;BEAM
814;CIRA0814;1030419.12;1263301.42;814;PROD_OIL;CIRA SOUTH;BEAM
817;CIRA0817;1030313.93;1261899.8;817;PROD_OIL;CIRA SOUTH;BEAM
818;CIRA0818;1030351.44;1262194.43;818;PROD_OIL;CIRA SOUTH;BEAM
820;CIRA0820;1032617.43;1267035.39;820;PROD_OIL;CIRA NORTH;BEAM
823;CIRA0823;1031114.78;1265240.69;823;PROD_OIL;CIRA NORTH;ESP
824;CIRA0824;1030893.27;1265390.45;824;PROD_OIL;CIRA NORTH;PROG_CAVITY
826;CIRA0826;1032507.8;1266285.32;826;PROD_OIL;CIRA NORTH;BEAM
827;CIRA0827;1033476.25;1265303.91;827;PROD_OIL;CIRA EAST;BEAM
828;CIRA0828;1033731.63;1265527.73;828;PROD_OIL;CIRA EAST;BEAM
829;CIRA0829;1033018.46;1265542.85;829;PROD_OIL;CIRA NORTH;BEAM
831;CIRA0831;1030584.13;1264273.66;831;PROD_OIL;CIRA SOUTH;BEAM
